Product code,station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,A764,2017,6,16,14.2,1,Y
IDCJAC0010,A764,2017,6,17,14.9,1,Y
IDCJAC0010,A764,2017,6,18,14.9,1,Y
IDCJAC0010,A764,2017,6,19,18,1,Y
IDCJAC0010,A764,2017,6,20,13.7,1,Y
IDCJAC0010,A764,2017,6,21,14.9,1,Y
IDCJAC0010,A764,2017,6,22,15.2,1,Y
IDCJAC0010,A764,2017,6,23,15,1,Y
IDCJAC0010,A764,2017,6,24,14.4,1,Y
IDCJAC0010,A764,2017,6,25,13.4,1,Y
IDCJAC0010,A764,2017,6,26,14.1,1,Y
IDCJAC0010,A764,2017,6,27,13.6,1,Y
IDCJAC0010,A764,2017,6,28,14.6,1,Y
IDCJAC0010,A764,2017,6,29,15.3,1,Y
IDCJAC0010,A764,2017,6,30,15.2,1,Y
IDCJAC0010,A764,2017,7,1,15.1,1,Y
IDCJAC0010,A764,2017,7,2,13.9,1,Y
IDCJAC0010,A764,2017,7,3,11.8,1,Y
IDCJAC0010,A764,2017,7,4,11.1,1,Y
IDCJAC0010,A764,2017,7,5,11.5,1,Y
IDCJAC0010,A764,2017,7,6,11.5,1,Y
IDCJAC0010,A764,2017,7,7,14.6,1,Y
IDCJAC0010,A764,2017,7,8,13.3,1,Y
IDCJAC0010,A764,2017,7,9,14.1,1,Y
IDCJAC0010,A764,2017,7,10,14,1,Y
IDCJAC0010,A764,2017,7,11,15.5,1,Y
IDCJAC0010,A764,2017,7,12,15.4,1,Y
IDCJAC0010,A764,2017,7,13,15.2,1,Y
IDCJAC0010,A764,2017,7,14,14.2,1,Y
IDCJAC0010,A764,2017,7,15,13.7,1,Y
IDCJAC0010,A764,2017,7,16,13.9,1,Y
IDCJAC0010,A764,2017,7,17,14.6,1,Y
IDCJAC0010,A764,2017,7,18,9.3,1,Y
IDCJAC0010,A764,2017,7,19,9.4,1,Y
IDCJAC0010,A764,2017,7,20,12,1,Y
IDCJAC0010,A764,2017,7,21,15.5,1,Y
IDCJAC0010,A764,2017,7,22,14.7,1,Y
IDCJAC0010,A764,2017,7,23,15,1,Y
IDCJAC0010,A764,2017,7,24,13.3,1,Y
IDCJAC0010,A764,2017,7,25,14.8,1,Y
IDCJAC0010,A764,2017,7,26,14.5,1,Y
IDCJAC0010,A764,2017,7,27,13.8,1,Y
IDCJAC0010,A764,2017,7,28,13.1,1,Y
IDCJAC0010,A764,2017,7,29,13.4,1,Y
IDCJAC0010,A764,2017,7,30,14.4,1,Y
IDCJAC0010,A764,2017,7,31,12.6,1,Y
IDCJAC0010,A764,2017,8,1,13.9,1,Y
IDCJAC0010,A764,2017,8,2,14.3,1,Y
IDCJAC0010,A764,2017,8,3,15.1,1,Y
IDCJAC0010,A764,2017,8,4,10.3,1,Y
IDCJAC0010,A764,2017,8,5,12.5,1,Y
IDCJAC0010,A764,2017,8,6,12,1,Y
IDCJAC0010,A764,2017,8,7,14.2,1,Y
IDCJAC0010,A764,2017,8,8,14.6,1,Y
IDCJAC0010,A764,2017,8,9,18.2,1,Y
IDCJAC0010,A764,2017,8,10,18.2,1,Y
IDCJAC0010,A764,2017,8,11,16,1,Y
IDCJAC0010,A764,2017,8,12,18.2,1,Y
IDCJAC0010,A764,2017,8,13,18.9,1,Y
IDCJAC0010,A764,2017,8,14,19.3,1,Y
IDCJAC0010,A764,2017,8,15,18.5,1,Y
IDCJAC0010,A764,2017,8,16,17,1,Y
IDCJAC0010,A764,2017,8,17,16.8,1,Y
IDCJAC0010,A764,2017,8,18,16.8,1,Y
IDCJAC0010,A764,2017,8,19,17.4,1,Y
IDCJAC0010,A764,2017,8,20,18.6,1,Y
IDCJAC0010,A764,2017,8,21,15.6,1,Y
IDCJAC0010,A764,2017,8,22,12.8,1,Y
